Number,Signal,IOStandard
AL27,DDR_DQ<62>,POD12_DCI
AM27,DDR_DQ<63>,POD12_DCI
AV39,DDR_DQ<7>,POD12_DCI
BB36,DDR_DQ<8>,POD12_DCI
BB37,DDR_DQ<9>,POD12_DCI
AW38,DDR_DQS_N<0>,DIFF_POD12_DCI
BA36,DDR_DQS_N<1>,DIFF_POD12_DCI
BF39,DDR_DQS_N<2>,DIFF_POD12_DCI
BF35,DDR_DQS_N<3>,DIFF_POD12_DCI
BF25,DDR_DQS_N<4>,DIFF_POD12_DCI
BB26,DDR_DQS_N<5>,DIFF_POD12_DCI
AT27,DDR_DQS_N<6>,DIFF_POD12_DCI
AN28,DDR_DQS_N<7>,DIFF_POD12_DCI
AW37,DDR_DQS_P<0>,DIFF_POD12_DCI
BA35,DDR_DQS_P<1>,DIFF_POD12_DCI
BE39,DDR_DQS_P<2>,DIFF_POD12_DCI
BE35,DDR_DQS_P<3>,DIFF_POD12_DCI
BE25,DDR_DQS_P<4>,DIFF_POD12_DCI
BA26,DDR_DQS_P<5>,DIFF_POD12_DCI
AT26,DDR_DQS_P<6>,DIFF_POD12_DCI
AM28,DDR_DQS_P<7>,DIFF_POD12_DCI
AU32,DDR_nACT,SSTL12_DCI
AT34,DDR_nALERT,LVCMOS12
BA34,DDR_nCAS_A15,SSTL12_DCI
AW30,DDR_nCS<0>,SSTL12_DCI
AU33,DDR_nCS<1>,SSTL12_DCI
AR29,DDR_nEVENT,LVCMOS12
AY32,DDR_nRAS_A16,SSTL12_DCI
AU31,DDR_nRESET,LVCMOS12
AY34,DDR_nWE_A14,SSTL12_DCI
AV29,DDR_ODT<0>,SSTL12_DCI
AT31,DDR_ODT<1>,SSTL12_DCI
AT30,DDR_PARITY,LVCMOS12
AW32,DDR_REFCLKN,DIFF_SSTL12
AW31,DDR_REFCLKP,DIFF_SSTL12
AT29,DDR_SCL,LVCMOS12
AT32,DDR_SDA,LVCMOS12
BE4,DP_C2M_N<0>,DIFF_HSTL_I_18 (Default)
BC4,DP_C2M_N<1>,DIFF_HSTL_I_18 (Default)
BA4,DP_C2M_N<2>,DIFF_HSTL_I_18 (Default)
AW4,DP_C2M_N<3>,DIFF_HSTL_I_18 (Default)
AT6,DP_C2M_N<4>,DIFF_HSTL_I_18 (Default)
AP6,DP_C2M_N<5>,DIFF_HSTL_I_18 (Default)
AR4,DP_C2M_N<6>,DIFF_HSTL_I_18 (Default)
AU4,DP_C2M_N<7>,DIFF_HSTL_I_18 (Default)
AN4,DP_C2M_N<8>,DIFF_HSTL_I_18 (Default)
AM6,DP_C2M_N<9>,DIFF_HSTL_I_18 (Default)
BE5,DP_C2M_P<0>,DIFF_HSTL_I_18 (Default)
BC5,DP_C2M_P<1>,DIFF_HSTL_I_18 (Default)
BA5,DP_C2M_P<2>,DIFF_HSTL_I_18 (Default)
AW5,DP_C2M_P<3>,DIFF_HSTL_I_18 (Default)
AT7,DP_C2M_P<4>,DIFF_HSTL_I_18 (Default)
AP7,DP_C2M_P<5>,DIFF_HSTL_I_18 (Default)
AR5,DP_C2M_P<6>,DIFF_HSTL_I_18 (Default)
AU5,DP_C2M_P<7>,DIFF_HSTL_I_18 (Default)
AN5,DP_C2M_P<8>,DIFF_HSTL_I_18 (Default)
AM7,DP_C2M_P<9>,DIFF_HSTL_I_18 (Default)
BB1,DP_M2C_N<0>,DIFF_HSTL_I_18 (Default)
AY1,DP_M2C_N<1>,DIFF_HSTL_I_18 (Default)
AV1,DP_M2C_N<2>,DIFF_HSTL_I_18 (Default)
AT1,DP_M2C_N<3>,DIFF_HSTL_I_18 (Default)
AM1,DP_M2C_N<4>,DIFF_HSTL_I_18 (Default)
AJ3,DP_M2C_N<5>,DIFF_HSTL_I_18 (Default)
AK1,DP_M2C_N<6>,DIFF_HSTL_I_18 (Default)
AP1,DP_M2C_N<7>,DIFF_HSTL_I_18 (Default)
AH1,DP_M2C_N<8>,DIFF_HSTL_I_18 (Default)
AG3,DP_M2C_N<9>,DIFF_HSTL_I_18 (Default)
BB2,DP_M2C_P<0>,DIFF_HSTL_I_18 (Default)
AY2,DP_M2C_P<1>,DIFF_HSTL_I_18 (Default)
AV2,DP_M2C_P<2>,DIFF_HSTL_I_18 (Default)
AT2,DP_M2C_P<3>,DIFF_HSTL_I_18 (Default)
AM2,DP_M2C_P<4>,DIFF_HSTL_I_18 (Default)
AJ4,DP_M2C_P<5>,DIFF_HSTL_I_18 (Default)
AK2,DP_M2C_P<6>,DIFF_HSTL_I_18 (Default)
AP2,DP_M2C_P<7>,DIFF_HSTL_I_18 (Default)
AH2,DP_M2C_P<8>,DIFF_HSTL_I_18 (Default)
AG4,DP_M2C_P<9>,DIFF_HSTL_I_18 (Default)
N20,DSI_CN,MIPI_DPHY_DCI
P20,DSI_CP,MIPI_DPHY_DCI
M23,DSI_DN<0>,MIPI_DPHY_DCI
P21,DSI_DN<1>,MIPI_DPHY_DCI
N23,DSI_DP<0>,MIPI_DPHY_DCI
R21,DSI_DP<1>,MIPI_DPHY_DCI
J24,DSI_SCL,LVCMOS12
B23,DSI_SDA,LVCMOS12
AT37,DVI_CSCL,LVCMOS18
AT39,DVI_CSDA,LVCMOS18
AT40,DVI_INT,LVCMOS18
AY9,FIFO_CLK,LVCMOS18
BC8,FIFO_D<0>,LVCMOS18
BC9,FIFO_D<1>,LVCMOS18
BD7,FIFO_D<10>,LVCMOS18
BD8,FIFO_D<11>,LVCMOS18
BF15,FIFO_D<12>,LVCMOS18
BE15,FIFO_D<13>,LVCMOS18
BF14,FIFO_D<14>,LVCMOS18
BE14,FIFO_D<15>,LVCMOS18
BD10,FIFO_D<2>,LVCMOS18
BC10,FIFO_D<3>,LVCMOS18
BF9,FIFO_D<4>,LVCMOS18
BF10,FIFO_D<5>,LVCMOS18
BE9,FIFO_D<6>,LVCMOS18
BE10,FIFO_D<7>,LVCMOS18
BE7,FIFO_D<8>,LVCMOS18
BE8,FIFO_D<9>,LVCMOS18
BE13,FIFO_NBE<0>,LVCMOS18
BD13,FIFO_NBE<1>,LVCMOS18
BD11,FIFO_NOE,LVCMOS18
BC11,FIFO_NRD,LVCMOS18
BF11,FIFO_NRXF,LVCMOS18
BF12,FIFO_NTXE,LVCMOS18
BE12,FIFO_NWAK,LVCMOS18
BD12,FIFO_nWR,LVCMOS18
AL36,FMC_CLK_DIR,LVCMOS18
AK35,FMC_nPRSNT,LVCMOS18
AL8,GBTCLK_M2C_N<0>,DIFF_HSTL_I_18 (Default)
AR8,GBTCLK_M2C_N<1>,DIFF_HSTL_I_18 (Default)
AL9,GBTCLK_M2C_P<0>,DIFF_HSTL_I_18 (Default)
AR9,GBTCLK_M2C_P<1>,DIFF_HSTL_I_18 (Default)
P36,HA_N<0>,LVDS
P34,HA_N<1>,LVDS
L30,HA_N<10>,LVDS
J32,HA_N<11>,LVDS
J30,HA_N<12>,LVDS
J31,HA_N<13>,LVDS
M30,HA_N<14>,LVDS
N29,HA_N<15>,LVDS
L31,HA_N<16>,LVDS
R33,HA_N<17>,LVDS
T36,HA_N<18>,LVDS
R29,HA_N<19>,LVDS
N37,HA_N<2>,LVDS
P30,HA_N<20>,LVDS
W34,HA_N<21>,LVDS
W31,HA_N<22>,LVDS
W32,HA_N<23>,LVDS
M38,HA_N<3>,LVDS
L36,HA_N<4>,LVDS
L35,HA_N<5>,LVDS
N35,HA_N<6>,LVDS
L38,HA_N<7>,LVDS
C33,HA_N<8>,LVDS
K34,HA_N<9>,LVDS
P35,HA_P<0>,LVDS
R34,HA_P<1>,LVDS
L29,HA_P<10>,LVDS
K32,HA_P<11>,LVDS
J29,HA_P<12>,LVDS
K31,HA_P<13>,LVDS
N30,HA_P<14>,LVDS
N28,HA_P<15>,LVDS
M31,HA_P<16>,LVDS
T33,HA_P<17>,LVDS
U35,HA_P<18>,LVDS
R28,HA_P<19>,LVDS
P37,HA_P<2>,LVDS
P29,HA_P<20>,LVDS
Y34,HA_P<21>,LVDS
Y31,HA_P<22>,LVDS
Y32,HA_P<23>,LVDS
N38,HA_P<3>,LVDS
M36,HA_P<4>,LVDS
M35,HA_P<5>,LVDS
N34,HA_P<6>,LVDS
M37,HA_P<7>,LVDS
C32,HA_P<8>,LVDS
L34,HA_P<9>,LVDS
F26,HB_N<0>,LVDS
C28,HB_N<1>,LVDS
L26,HB_N<10>,LVDS
L25,HB_N<11>,LVDS
N25,HB_N<12>,LVDS
N24,HB_N<13>,LVDS
P27,HB_N<14>,LVDS
R24,HB_N<15>,LVDS
